,iso_code,country,gdp,gdp,gdp,gdp
,,,min,max,mean,median
0,ESP,Spain,1108745388032,1528105271296,1397193517163.7896,1450312204288.0
1,NLD,Netherlands,603576139776,818056003584,710211369283.3684,727959470080.0
