,iso_code,country,co2_including_luc,co2_including_luc,co2_including_luc,co2_including_luc
,,,min,max,mean,median
0,LTU,Lithuania,-3.972,17.757,5.6847,6.2255
1,LUX,Luxembourg,8.783,12.088,10.755700000000001,10.9115
