,iso_code,country,year,methane
0,POL,Poland,2000,34.39
1,POL,Poland,2001,33.59
2,POL,Poland,2002,33.37
3,POL,Poland,2003,33.31
4,ESP,Spain,2000,39.22
5,ESP,Spain,2001,39.81
6,ESP,Spain,2002,40.18
7,ESP,Spain,2003,40.17
