,iso_code,country,year,co2_including_luc
0,ROU,Romania,2000,89.957
1,ROU,Romania,2001,96.575
2,ROU,Romania,2002,99.419
3,ROU,Romania,2003,89.141
4,ROU,Romania,2004,95.698
5,ROU,Romania,2005,86.685
